0,1,2,3,4,5,6,7
33:19:00,33:24:00,YES,YES,37:28:00,35:26:00,YES,YES
24:13:00,Did Not Play,YES,YES,27:20:00,22:44,YES,YES
31:03:00,38:09:00,YES,YES,32:22:00,36:32:00,YES,YES
35:09:00,39:24:00,YES,YES,32:19:00,28:22:00,YES,YES
33:46:00,33:34:00,YES,YES,35:20:00,42:28:00,YES,YES
43:49:00,38:42:00,YES,YES,40:41:00,0,YES,NO
0,33:48:00,NO,YES,Did Not Dress,24:19:00,YES,YES
26:03:00,32:56:00,YES,YES,30:39:00,30:16:00,YES,YES
32:48:00,31:23:00,YES,YES,30:31:00,35:57:00,YES,YES
36:34:00,35:49:00,YES,YES,0,37:35:00,NO,YES
0,29:25:00,NO,YES,37:16:00,32:52:00,YES,YES
37:05:00,36:07:00,YES,YES,40:56:00,0,YES,NO
43:06:00,36:44:00,YES,YES,32:19:00,28:59:00,YES,YES
