"","code"
"651","20201200UTA"
"652","20201200POR"
"653","20201210DAL"
"654","20201220DET"
"655","20201220ORL"
"656","20201220TOR"
"657","20201220ATL"
"658","20201220BOS"
"659","20201220MIA"
"660","20201220NYK"
"661","20201220CHI"
"662","20201220HOU"
"663","20201220PHO"
"664","20201220NOP"
"665","20201220GSW"
"666","20201230CLE"
"667","20201230BRK"
"668","20201230POR"
"669","20201240CHO"
"670","20201240DET"
"671","20201240ORL"
"672","20201240NYK"
"673","20201240CHI"
"674","20201240MIA"
"675","20201240MIN"
"676","20201240NOP"
"677","20201240OKC"
"678","20201240SAS"
"679","20201240GSW"
"680","20201250UTA"
"681","20201250DET"
"682","20201250CLE"
"683","20201250MIN"
"684","20201250PHI"
"685","20201260DEN"
"686","20201260SAS"
"687","20201260ATL"
"688","20201260MEM"
"689","20201260NOP"
"690","20201260NYK"
"691","20201260ORL"
"692","20201260POR"
"693","20201270DET"
"694","20201270MIA"
"695","20201270CHI"
"696","20201270MIN"
"697","20201270OKC"
"698","20201270UTA"
"699","20201280CHO"
"700","20201280PHI"
"701","20201280CLE"
"702","20201280TOR"
"703","20201280MEM"
"704","20201280MIA"
"705","20201280MIL"
"706","20201280DAL"
"707","20201290IND"
"708","20201290BRK"
"709","20201290NYK"
"710","20201290SAS"
"711","20201290POR"
"712","20201290SAC"
"713","20201300CLE"
"714","20201300WAS"
"715","20201300ATL"
"716","20201300BOS"
"717","20201300DEN"
"718","20201300LAC"
"719","20201310DET"
"720","20201310BRK"
"721","20201310HOU"
"722","20201310NOP"
"723","20201310MIL"
"724","20201310PHO"
"725","20201310LAL"
"726","2020210LAC"
"727","2020210IND"
"728","2020210ORL"
"729","2020210CLE"
"730","2020210WAS"
"731","2020210BOS"
"732","2020210DAL"
"733","2020210SAS"
"734","2020210SAC"
"735","2020210POR"
"736","2020220DET"
"737","2020220HOU"
"738","2020220MIL"
"739","2020220TOR"
"740","2020230CHO"
"741","2020230CLE"
"742","2020230IND"
"743","2020230WAS"
"744","2020230ATL"
"745","2020230BRK"
"746","2020230MIA"
"747","2020230MEM"
"748","2020230SAC"
"749","2020230LAC"
"750","2020240NOP"
"751","2020240HOU"
"752","2020240DEN"
"753","2020240LAL"
"754","2020250DET"
"755","2020250BOS"
"756","2020250BRK"
"757","2020250TOR"
"758","2020250MIN"
"759","2020250OKC"
"760","2020250DAL"
"761","2020250UTA"
"762","2020250LAC"
"763","2020260NYK"
"764","2020260CHI"
"765","2020260MIL"
"766","2020260POR"
"767","2020260LAL"
"768","2020270PHI"
"769","2020270WAS"
"770","2020270BOS"
"771","2020270IND"
"772","2020270OKC"
"773","2020270PHO"
"774","2020270SAC"
"775","2020270UTA"
"776","2020280ORL"
"777","2020280CHO"
"778","2020280DET"
"779","2020280IND"
"780","2020280TOR"
"781","2020280MIN"
"782","2020280GSW"
"783","2020280PHO"
"784","2020280SAC"
"785","2020290OKC"
"786","2020290ATL"
"787","2020290PHI"
"788","2020290WAS"
"789","2020290HOU"
"790","2020290CLE"
"791","2020290POR"
"792","20202100DET"
"793","20202100IND"
"794","20202100ORL"
"795","20202100TOR"
"796","20202100MIL"
"797","20202100DAL"
"798","20202100DEN"
"799","20202100GSW"
"800","20202100LAL"
"801","20202110PHI"
"802","20202110WAS"
"803","20202110NOP"
"804","20202110OKC"
"805","20202110HOU"
"806","20202120CLE"
"807","20202120ORL"
"808","20202120BRK"
"809","20202120IND"
"810","20202120NYK"
"811","20202120MEM"
"812","20202120MIN"
"813","20202120DAL"
"814","20202120PHO"
"815","20202120UTA"
"816","20202120DEN"
"817","20202130BOS"
"818","20202130NOP"
"819","20202200DET"
"820","20202200ATL"
"821","20202200CHI"
"822","20202200PHI"
"823","20202200SAC"
"824","20202200GSW"
"825","20202210ORL"
"826","20202210WAS"
"827","20202210NYK"
"828","20202210TOR"
"829","20202210MIN"
"830","20202210OKC"
"831","20202210UTA"
"832","20202210LAL"
"833","20202210POR"
"834","20202220LAC"
"835","20202220CHO"
"836","20202220ATL"
"837","20202220CHI"
"838","20202220MIA"
"839","20202220MIL"
"840","20202220UTA"
"841","20202230LAL"
"842","20202230DEN"
"843","20202230TOR"
"844","20202230CHI"
"845","20202230OKC"
"846","20202230GSW"
"847","20202230POR"
"848","20202240CLE"
"849","20202240PHI"
"850","20202240WAS"
"851","20202240BRK"
"852","20202240HOU"
"853","20202240DAL"
"854","20202240UTA"
"855","20202240LAC"
"856","20202250IND"
"857","20202250TOR"
"858","20202250CHI"
"859","20202250DEN"
"860","20202250LAL"
"861","20202250POR"
"862","20202250GSW"
"863","20202260CHO"
"864","20202260CLE"
"865","20202260WAS"
"866","20202260ATL"
"867","20202260MIA"
"868","20202260HOU"
"869","20202260SAS"
"870","20202260PHO"
"871","20202260UTA"
"872","20202270PHI"
"873","20202270IND"
"874","20202270OKC"
"875","20202270GSW"
"876","20202280ORL"
"877","20202280ATL"
"878","20202280TOR"
"879","20202280MEM"
"880","20202280MIA"
"881","20202280MIL"
"882","20202280NOP"
"883","20202280PHO"
"884","20202280UTA"
"885","20202280LAC"
"886","20202290NYK"
"887","20202290ATL"
"888","20202290MIA"
"889","20202290CLE"
"890","20202290MEM"
"891","20202290BOS"
"892","20202290SAS"
"893","20202290PHO"
"894","2020310CHO"
"895","2020310LAC"
"896","2020310MIN"
"897","2020310DEN"
"898","2020310SAC"
"899","2020310NOP"
"900","2020310GSW"
"901","2020320CLE"
"902","2020320NYK"
"903","2020320ORL"
"904","2020320ATL"
"905","2020320MIA"
"906","2020320CHI"
"907","2020320SAS"
"908","2020330CHO"
"909","2020330BOS"
"910","2020330NOP"
"911","2020330OKC"
"912","2020330DEN"
"913","2020330PHO"
"914","2020330LAL"
"915","2020330SAC"
"916","2020340CLE"
"917","2020340DET"
"918","2020340MIL"
"919","2020340BRK"
"920","2020340MIA"
"921","2020340NYK"
"922","2020340MIN"
"923","2020340DAL"
"924","2020340POR"
"925","2020350CHO"
"926","2020350HOU"
"927","2020350SAC"
"928","2020350GSW"
"929","2020360WAS"
"930","2020360BRK"
"931","2020360NYK"
"932","2020360BOS"
"933","2020360CHI"
"934","2020360MIN"
"935","2020360NOP"
"936","2020360DAL"
"937","2020360PHO"
"938","2020360LAL"
"939","2020370CHO"
"940","2020370DET"
"941","2020370CLE"
"942","2020370MEM"
"943","2020370GSW"
"944","2020370POR"
"945","2020380BRK"
"946","2020380LAC"
"947","2020380MIN"
"948","2020380BOS"
"949","2020380PHO"
"950","2020380DAL"
"951","2020380HOU"
"952","2020380WAS"
"953","2020380CLE"
"954","2020380NYK"
"955","2020380SAC"
"956","2020390ATL"
"957","2020390DEN"
"958","2020390UTA"
"959","20203100IND"
"960","20203100WAS"
"961","20203100CHI"
"962","20203100HOU"
"963","20203100MEM"
"964","20203100SAS"
"965","20203100POR"
"966","20203100GSW"
"967","20203100LAL"
"968","20203110PHI"
"969","20203110ATL"
"970","20203110MIA"
"971","20203110DAL"
