"","year","month","day","start","visitor","pts_visitor","home","pts_home","attend","acr","zer","code"
"120",2019,"11","08","8:00p","Golden State Warriors",119,"Minnesota Timberwolves",125,15.647,"MIN",0,"201911080MIN"
"121",2019,"11","08","8:00p","Toronto Raptors",122,"New Orleans Pelicans",104,16.337,"NOP",0,"201911080NOP"
"122",2019,"11","08","8:30p","New York Knicks",106,"Dallas Mavericks",102,20.257,"DAL",0,"201911080DAL"
"123",2019,"11","08","9:00p","Philadelphia 76ers",97,"Denver Nuggets",100,19.52,"DEN",0,"201911080DEN"
"124",2019,"11","08","9:00p","Milwaukee Bucks",100,"Utah Jazz",103,18.306,"UTA",0,"201911080UTA"
"125",2019,"11","08","10:00p","Brooklyn Nets",119,"Portland Trail Blazers",115,20.089,"POR",0,"201911080POR"
"126",2019,"11","08","10:30p","Miami Heat",80,"Los Angeles Lakers",95,18.997,"LAL",0,"201911080LAL"
"127",2019,"11","09","5:00p","Boston Celtics",135,"San Antonio Spurs",115,18.354,"SAS",0,"201911090SAS"
"128",2019,"11","09","7:00p","New Orleans Pelicans",115,"Charlotte Hornets",110,18.513,"CHO",0,"201911090CHO"
"129",2019,"11","09","8:00p","Houston Rockets",117,"Chicago Bulls",94,20.482,"CHI",0,"201911090CHI"
"130",2019,"11","09","8:00p","Dallas Mavericks",138,"Memphis Grizzlies",122,15.753,"MEM",0,"201911090MEM"
"131",2019,"11","09","8:00p","Golden State Warriors",108,"Oklahoma City Thunder",114,18.203,"OKC",0,"201911090OKC"
"132",2019,"11","10","3:30p","Denver Nuggets",100,"Minnesota Timberwolves",98,13.553,"MIN",0,"201911100MIN"
"133",2019,"11","10","6:00p","Indiana Pacers",109,"Orlando Magic",102,17.118,"ORL",0,"201911100ORL"
"134",2019,"11","10","6:00p","Charlotte Hornets",106,"Philadelphia 76ers",114,20.311,"PHI",0,"201911100PHI"
"135",2019,"11","10","7:00p","Milwaukee Bucks",121,"Oklahoma City Thunder",119,18.203,"OKC",0,"201911100OKC"
"136",2019,"11","10","7:30p","Cleveland Cavaliers",108,"New York Knicks",87,19.812,"NYK",0,"201911100NYK"
"137",2019,"11","10","8:00p","Brooklyn Nets",112,"Phoenix Suns",138,17.29,"PHO",0,"201911100PHO"
"138",2019,"11","10","9:00p","Atlanta Hawks",113,"Portland Trail Blazers",124,20.041,"POR",0,"201911100POR"
"139",2019,"11","10","9:30p","Toronto Raptors",113,"Los Angeles Lakers",104,18.997,"LAL",0,"201911100LAL"
"140",2019,"11","11","7:00p","Minnesota Timberwolves",120,"Detroit Pistons",114,12.526,"DET",0,"201911110DET"
"141",2019,"11","11","7:30p","Dallas Mavericks",106,"Boston Celtics",116,18.624,"BOS",0,"201911110BOS"
"142",2019,"11","11","7:30p","Memphis Grizzlies",113,"San Antonio Spurs",109,18.627,"SAS",0,"201911110SAS"
"143",2019,"11","11","8:00p","Houston Rockets",122,"New Orleans Pelicans",116,16.695,"NOP",0,"201911110NOP"
"144",2019,"11","11","10:30p","Utah Jazz",122,"Golden State Warriors",108,18.064,"GSW",0,"201911110GSW"
"145",2019,"11","11","10:30p","Toronto Raptors",88,"Los Angeles Clippers",98,19.068,"LAC",0,"201911110LAC"
"146",2019,"11","12","7:00p","Oklahoma City Thunder",85,"Indiana Pacers",111,15.838,"IND",0,"201911120IND"
"147",2019,"11","12","7:00p","Cleveland Cavaliers",97,"Philadelphia 76ers",98,20.294,"PHI",0,"201911120PHI"
"148",2019,"11","12","7:30p","Detroit Pistons",108,"Miami Heat",117,19.6,"MIA",0,"201911120MIA"
"149",2019,"11","12","8:00p","New York Knicks",102,"Chicago Bulls",120,18.668,"CHI",0,"201911120CHI"
"150",2019,"11","12","9:00p","Atlanta Hawks",125,"Denver Nuggets",121,18.327,"DEN",0,"201911120DEN"
"151",2019,"11","12","9:00p","Los Angeles Lakers",123,"Phoenix Suns",115,18.055,"PHO",0,"201911120PHO"
"152",2019,"11","12","9:00p","Brooklyn Nets",114,"Utah Jazz",119,18.306,"UTA",0,"201911120UTA"
"153",2019,"11","12","10:00p","Portland Trail Blazers",99,"Sacramento Kings",107,16.358,"SAC",0,"201911120SAC"
"154",2019,"11","13","7:00p","Memphis Grizzlies",119,"Charlotte Hornets",117,13.155,"CHO",0,"201911130CHO"
"155",2019,"11","13","7:00p","Philadelphia 76ers",97,"Orlando Magic",112,15.113,"ORL",0,"201911130ORL"
"156",2019,"11","13","7:30p","Washington Wizards",133,"Boston Celtics",140,19.156,"BOS",0,"201911130BOS"
"157",2019,"11","13","7:30p","Los Angeles Clippers",93,"Houston Rockets",102,18.055,"HOU",0,"201911130HOU"
"158",2019,"11","13","8:00p","San Antonio Spurs",114,"Minnesota Timberwolves",129,11.581,"MIN",0,"201911130MIN"
"159",2019,"11","13","10:00p","Golden State Warriors",94,"Los Angeles Lakers",120,18.997,"LAL",0,"201911130LAL"
"160",2019,"11","13","10:00p","Toronto Raptors",114,"Portland Trail Blazers",106,19.544,"POR",0,"201911130POR"
"161",2019,"11","14","6:00p","Miami Heat",108,"Cleveland Cavaliers",97,17.374,"CLE",0,"201911140CLE"
