0,1,2,3,4,5,6,7
30:47,37:57,YES,YES,36:13,40:14,YES,YES
38:54,43:27,YES,YES,24:39,32:11,YES,YES
0,32:34,NO,YES,34:23,28:26,YES,YES
34:29,37:40,YES,YES,36:04,28:05,YES,YES
36:47,31:19,YES,YES,0,Did Not Dress,NO,YES
21:33,29:43,YES,YES,31:25,38:00,YES,YES
0,34:54,NO,YES,34:34,33:18,YES,YES
41:20,0,YES,NO,29:14,22:46,YES,YES
0,34:35,NO,YES,0,41:06,NO,YES
33:19,33:24,YES,YES,37:28,35:26,YES,YES
24:13,Did Not Play,YES,YES,27:20,22:44,YES,YES
31:03,38:09,YES,YES,32:22,36:32,YES,YES
35:09,39:24,YES,YES,32:19,28:22,YES,YES
33:46,33:34,YES,YES,35:20,42:28,YES,YES
43:49,38:42,YES,YES,40:41,0,YES,NO
0,33:48,NO,YES,Did Not Dress,24:19,YES,YES
26:03,32:56,YES,YES,30:39,30:16,YES,YES
32:48,31:23,YES,YES,30:31,35:57,YES,YES
36:34,35:49,YES,YES,0,37:35,NO,YES
0,29:25,NO,YES,37:16,32:52,YES,YES
37:05,36:07,YES,YES,40:56,0,YES,NO
43:06,36:44,YES,YES,32:19,28:59,YES,YES
0,30:08,NO,YES,32:08,31:36,YES,YES
36:14,40:14,YES,YES,36:35,32:57,YES,YES
30:13,28:33,YES,YES,28:22,31:39,YES,YES
24:21,24:16,YES,YES,32:44,31:36,YES,YES
0,23:34,NO,YES,27:15,29:47,YES,YES
39:06,Did Not Dress,YES,YES,0,40:46,NO,YES
28:00,23:19,YES,YES,27:53,30:03,YES,YES
0,27:57,NO,YES,27:37,25:39,YES,YES
0,37:06,NO,YES,32:57,35:42,YES,YES
0,23:40,NO,YES,32:44,36:30,YES,YES
33:07,29:10,YES,YES,36:26,32:39,YES,YES
0,36:46,NO,YES,0,31:20,NO,YES
36:45,35:13,YES,YES,23:02,38:05,YES,YES
40:21,0,YES,NO,0,21:50,NO,YES
36:45,29:38,YES,YES,0,Did Not Play,NO,YES
38:19,Did Not Dress,YES,YES,29:33,32:52,YES,YES
26:02,23:30,YES,YES,22:10,31:35,YES,YES
29:01,29:48,YES,YES,0,30:09,NO,YES
27:05,19:46,YES,YES,24:47,24:01,YES,YES
34:00,32:35,YES,YES,0,33:31,NO,YES
0,36:30,NO,YES,38:02,38:02,YES,YES
0,35:33,NO,YES,0,41:33,NO,YES
16:47,32:07,YES,YES,35:51,30:07,YES,YES
30:58,29:52,YES,YES,30:55,29:44,YES,YES
Did Not Play,30:52,YES,YES,35:58,31:27,YES,YES
27:23,31:46,YES,YES,33:40,0,YES,NO
36:08,34:50,YES,YES,34:21,32:31,YES,YES
27:53,37:15,YES,YES,27:28,25:17,YES,YES
0,43:47,NO,YES,40:31,0,YES,NO
36:32,Did Not Dress,YES,YES,22:53,37:08,YES,YES
38:10,27:59,YES,YES,31:02,31:51,YES,YES
36:09,38:50,YES,YES,34:03,38:06,YES,YES
28:59,31:46,YES,YES,24:45,30:25,YES,YES
30:53,35:08,YES,YES,0,34:21,NO,YES
0,37:05,NO,YES,36:53,32:05,YES,YES
37:42,40:06,YES,YES,30:41,35:58,YES,YES
0,29:50,NO,YES,0,32:55,NO,YES
34:47,32:54,YES,YES,0,37:20,NO,YES
30:19,33:00,YES,YES,28:26,38:03,YES,YES
