,code,acrv,acrh
459,201912250DEN,NOP,DEN
460,201912260DET,WAS,DET
461,201912260BRK,NYK,BRK
462,201912260DAL,SAS,DAL
463,201912260OKC,MEM,OKC
464,201912260SAC,MIN,SAC
465,201912260UTA,POR,UTA
466,201912270BOS,CLE,BOS
467,201912270CHO,OKC,CHO
468,201912270ORL,PHI,ORL
469,201912270ATL,MIL,ATL
470,201912270MIA,IND,MIA
471,201912270GSW,PHO,GSW
472,201912280DEN,MEM,DEN
473,201912280BOS,TOR,BOS
474,201912280NOP,IND,NOP
475,201912280CHI,ATL,CHI
476,201912280HOU,BRK,HOU
477,201912280MIA,PHI,MIA
478,201912280MIN,CLE,MIN
479,201912280WAS,NYK,WAS
480,201912280GSW,DAL,GSW
481,201912280MIL,ORL,MIL
482,201912280SAS,DET,SAS
483,201912280SAC,PHO,SAC
484,201912280POR,LAL,POR
485,201912280LAC,UTA,LAC
486,201912290TOR,OKC,TOR
487,201912290DEN,SAC,DEN
488,201912290MEM,CHO,MEM
489,201912290NOP,HOU,NOP
490,201912290LAL,DAL,LAL
491,201912300ORL,ATL,ORL
492,201912300WAS,MIA,WAS
493,201912300CHI,MIL,CHI
494,201912300MIN,BRK,MIN
495,201912300UTA,DET,UTA
496,201912300POR,PHO,POR
497,201912310CHO,BOS,CHO
498,201912310IND,PHI,IND
499,201912310SAC,LAC,SAC
500,201912310HOU,DEN,HOU
501,201912310SAS,GSW,SAS
502,201912310TOR,CLE,TOR
503,201912310OKC,DAL,OKC
504,202001010WAS,ORL,WAS
505,202001010NYK,POR,NYK
506,202001010MIL,MIN,MIL
507,202001010LAL,PHO,LAL
508,202001020CLE,CHO,CLE
509,202001020IND,DEN,IND
510,202001020MIA,TOR,MIA
511,202001020CHI,UTA,CHI
512,202001020MIN,GSW,MIN
513,202001020DAL,BRK,DAL
514,202001020SAS,OKC,SAS
515,202001020SAC,MEM,SAC
516,202001020LAC,DET,LAC
517,202001030BOS,ATL,BOS
518,202001030ORL,MIA,ORL
519,202001030WAS,POR,WAS
520,202001030HOU,PHI,HOU
521,202001030PHO,NYK,PHO
522,202001030LAL,NOP,LAL
523,202001040LAC,MEM,LAC
524,202001040BRK,TOR,BRK
525,202001040ORL,UTA,ORL
526,202001040ATL,IND,ATL
527,202001040CLE,OKC,CLE
528,202001040CHI,BOS,CHI
529,202001040WAS,DEN,WAS
530,202001040DAL,CHO,DAL
531,202001040GSW,DET,GSW
532,202001040MIL,SAS,MIL
533,202001040SAC,NOP,SAC
534,202001050LAC,NYK,LAC
535,202001050MIA,POR,MIA
536,202001050CLE,MIN,CLE
537,202001050PHO,MEM,PHO
538,202001050LAL,DET,LAL
539,202001060CHO,IND,CHO
540,202001060ORL,BRK,ORL
541,202001060PHI,OKC,PHI
542,202001060WAS,BOS,WAS
543,202001060ATL,DEN,ATL
544,202001060NOP,UTA,NOP
545,202001060DAL,CHI,DAL
546,202001060SAS,MIL,SAS
547,202001060SAC,GSW,SAC
548,202001070CLE,DET,CLE
549,202001070TOR,POR,TOR
550,202001070BRK,OKC,BRK
551,202001070MEM,MIN,MEM
552,202001070PHO,SAC,PHO
553,202001070LAL,NYK,LAL
554,202001080BOS,SAS,BOS
555,202001080CHO,TOR,CHO
556,202001080IND,MIA,IND
557,202001080ORL,WAS,ORL
558,202001080ATL,HOU,ATL
559,202001080DAL,DEN,DAL
560,202001080NOP,CHI,NOP
561,202001080UTA,NYK,UTA
562,202001080GSW,MIL,GSW
563,202001090DET,CLE,DET
564,202001090PHI,BOS,PHI
565,202001090MIN,POR,MIN
566,202001090OKC,HOU,OKC
567,202001100WAS,ATL,WAS
568,202001100NYK,NOP,NYK
569,202001100BRK,MIA,BRK
570,202001100CHI,IND,CHI
571,202001100MEM,SAS,MEM
572,202001100PHO,ORL,PHO
573,202001100UTA,CHO,UTA
574,202001100DAL,LAL,DAL
575,202001100SAC,MIL,SAC
576,202001100LAC,GSW,LAC
577,202001110HOU,MIN,HOU
578,202001110BOS,NOP,BOS
579,202001110DET,CHI,DET
580,202001110OKC,LAL,OKC
581,202001110DAL,PHI,DAL
582,202001110DEN,CLE,DEN
583,202001110POR,MIL,POR
584,202001120NYK,MIA,NYK
585,202001120WAS,UTA,WAS
586,202001120BRK,ATL,BRK
587,202001120MEM,GSW,MEM
588,202001120TOR,SAS,TOR
589,202001120DEN,LAC,DEN
590,202001120PHO,CHO,PHO
591,202001130DET,NOP,DET
592,202001130IND,PHI,IND
593,202001130BOS,CHI,BOS
594,202001130MIN,OKC,MIN
595,202001130POR,CHO,POR
596,202001130SAC,ORL,SAC
597,202001130LAL,CLE,LAL
598,202001140ATL,PHO,ATL
599,202001140BRK,UTA,BRK
600,202001140MEM,HOU,MEM
601,202001140MIL,NYK,MIL
602,202001140GSW,DAL,GSW
603,202001140LAC,CLE,LAC
604,202001150BOS,DET,BOS
605,202001150PHI,BRK,PHI
606,202001150MIA,SAS,MIA
607,202001150CHI,WAS,CHI
608,202001150MIN,IND,MIN
609,202001150OKC,TOR,OKC
610,202001150DEN,CHO,DEN
611,202001150HOU,POR,HOU
612,202001150SAC,DAL,SAC
613,202001150LAL,ORL,LAL
614,202001160NYK,PHO,NYK
615,202001160MIL,BOS,MIL
616,202001160NOP,UTA,NOP
617,202001160GSW,DEN,GSW
618,202001160LAC,ORL,LAC
619,202001170IND,MIN,IND
620,202001170PHI,CHI,PHI
621,202001170TOR,WAS,TOR
622,202001170MEM,CLE,MEM
623,202001170OKC,MIA,OKC
624,202001170SAS,ATL,SAS
625,202001170DAL,POR,DAL
626,202001180NOP,LAC,NOP
627,202001180BRK,MIL,BRK
628,202001180BOS,PHO,BOS
629,202001180ATL,DET,ATL
630,202001180NYK,PHI,NYK
631,202001180CHI,CLE,CHI
632,202001180MIN,TOR,MIN
633,202001180GSW,ORL,GSW
634,202001180HOU,LAL,HOU
635,202001180OKC,POR,OKC
636,202001180UTA,SAC,UTA
637,202001190SAS,MIA,SAS
638,202001190DEN,IND,DEN
639,202001200WAS,DET,WAS
640,202001200ATL,TOR,ATL
641,202001200BRK,PHI,BRK
642,202001200CHO,ORL,CHO
643,202001200CLE,NYK,CLE
644,202001200HOU,OKC,HOU
645,202001200MEM,NOP,MEM
646,202001200MIA,SAC,MIA
647,202001200MIL,CHI,MIL
648,202001200BOS,LAL,BOS
649,202001200MIN,DEN,MIN
650,202001200PHO,SAS,PHO
651,202001200UTA,IND,UTA
652,202001200POR,GSW,POR
653,202001210DAL,LAC,DAL
654,202001220DET,SAC,DET
655,202001220ORL,OKC,ORL
656,202001220TOR,PHI,TOR
657,202001220ATL,LAC,ATL
658,202001220BOS,MEM,BOS
659,202001220MIA,WAS,MIA
660,202001220NYK,LAL,NYK
661,202001220CHI,MIN,CHI
662,202001220HOU,DEN,HOU
663,202001220PHO,IND,PHO
664,202001220NOP,SAS,NOP
665,202001220GSW,UTA,GSW
666,202001230CLE,WAS,CLE
667,202001230BRK,LAL,BRK
668,202001230POR,DAL,POR
669,202001240CHO,MIL,CHO
670,202001240DET,MEM,DET
671,202001240ORL,BOS,ORL
672,202001240NYK,TOR,NYK
673,202001240CHI,SAC,CHI
674,202001240MIA,LAC,MIA
675,202001240MIN,HOU,MIN
676,202001240NOP,DEN,NOP
677,202001240OKC,ATL,OKC
678,202001240SAS,PHO,SAS
679,202001240GSW,IND,GSW
680,202001250UTA,DAL,UTA
681,202001250DET,BRK,DET
682,202001250CLE,CHI,CLE
683,202001250MIN,OKC,MIN
684,202001250PHI,LAL,PHI
685,202001260DEN,HOU,DEN
686,202001260SAS,TOR,SAS
687,202001260ATL,WAS,ATL
688,202001260MEM,PHO,MEM
689,202001260NOP,BOS,NOP
690,202001260NYK,BRK,NYK
691,202001260ORL,LAC,ORL
692,202001260POR,IND,POR
693,202001270DET,CLE,DET
694,202001270MIA,ORL,MIA
695,202001270CHI,SAS,CHI
696,202001270MIN,SAC,MIN
697,202001270OKC,DAL,OKC
698,202001270UTA,HOU,UTA
699,202001280CHO,NYK,CHO
700,202001280PHI,GSW,PHI
701,202001280CLE,NOP,CLE
702,202001280TOR,ATL,TOR
703,202001280MEM,DEN,MEM
704,202001280MIA,BOS,MIA
705,202001280MIL,WAS,MIL
706,202001280DAL,PHO,DAL
707,202001290IND,CHI,IND
708,202001290BRK,DET,BRK
709,202001290NYK,MEM,NYK
710,202001290SAS,UTA,SAS
711,202001290POR,HOU,POR
712,202001290SAC,OKC,SAC
713,202001300CLE,TOR,CLE
714,202001300WAS,CHO,WAS
715,202001300ATL,PHI,ATL
716,202001300BOS,GSW,BOS
717,202001300DEN,UTA,DEN
718,202001300LAC,SAC,LAC
719,202001310DET,TOR,DET
720,202001310BRK,CHI,BRK
721,202001310HOU,DAL,HOU
722,202001310NOP,MEM,NOP
723,202001310MIL,DEN,MIL
724,202001310PHO,OKC,PHO
725,202001310LAL,POR,LAL
726,202002010LAC,MIN,LAC
727,202002010IND,NYK,IND
728,202002010ORL,MIA,ORL
729,202002010CLE,GSW,CLE
730,202002010WAS,BRK,WAS
731,202002010BOS,PHI,BOS
732,202002010DAL,ATL,DAL
733,202002010SAS,CHO,SAS
734,202002010SAC,LAL,SAC
735,202002010POR,UTA,POR
736,202002020DET,DEN,DET
737,202002020HOU,NOP,HOU
738,202002020MIL,PHO,MIL
739,202002020TOR,CHI,TOR
740,202002030CHO,ORL,CHO
741,202002030CLE,NYK,CLE
742,202002030IND,DAL,IND
743,202002030WAS,GSW,WAS
744,202002030ATL,BOS,ATL
745,202002030BRK,PHO,BRK
746,202002030MIA,PHI,MIA
747,202002030MEM,DET,MEM
748,202002030SAC,MIN,SAC
749,202002030LAC,SAS,LAC
750,202002040NOP,MIL,NOP
751,202002040HOU,CHO,HOU
752,202002040DEN,POR,DEN
753,202002040LAL,SAS,LAL
754,202002050DET,PHO,DET
755,202002050BOS,ORL,BOS
756,202002050BRK,GSW,BRK
757,202002050TOR,IND,TOR
758,202002050MIN,ATL,MIN
759,202002050OKC,CLE,OKC
760,202002050DAL,MEM,DAL
761,202002050UTA,DEN,UTA
762,202002050LAC,MIA,LAC
763,202002060NYK,ORL,NYK
764,202002060CHI,NOP,CHI
765,202002060MIL,PHI,MIL
766,202002060POR,SAS,POR
767,202002060LAL,HOU,LAL
768,202002070PHI,MEM,PHI
769,202002070WAS,DAL,WAS
770,202002070BOS,ATL,BOS
771,202002070IND,TOR,IND
772,202002070OKC,DET,OKC
773,202002070PHO,HOU,PHO
774,202002070SAC,MIA,SAC
775,202002070UTA,POR,UTA
776,202002080ORL,MIL,ORL
777,202002080CHO,DAL,CHO
778,202002080DET,NYK,DET
779,202002080IND,NOP,IND
780,202002080TOR,BRK,TOR
781,202002080MIN,LAC,MIN
782,202002080GSW,LAL,GSW
783,202002080PHO,DEN,PHO
784,202002080SAC,SAS,SAC
785,202002090OKC,BOS,OKC
786,202002090ATL,NYK,ATL
787,202002090PHI,CHI,PHI
788,202002090WAS,MEM,WAS
789,202002090HOU,UTA,HOU
790,202002090CLE,LAC,CLE
791,202002090POR,MIA,POR
792,202002100DET,CHO,DET
793,202002100IND,BRK,IND
794,202002100ORL,ATL,ORL
795,202002100TOR,MIN,TOR
796,202002100MIL,SAC,MIL
797,202002100DAL,UTA,DAL
798,202002100DEN,SAS,DEN
799,202002100GSW,MIA,GSW
800,202002100LAL,PHO,LAL
801,202002110PHI,LAC,PHI
802,202002110WAS,CHI,WAS
803,202002110NOP,POR,NOP
804,202002110OKC,SAS,OKC
805,202002110HOU,BOS,HOU
806,202002120CLE,ATL,CLE
807,202002120ORL,DET,ORL
808,202002120BRK,TOR,BRK
809,202002120IND,MIL,IND
810,202002120NYK,WAS,NYK
811,202002120MEM,POR,MEM
812,202002120MIN,CHO,MIN
813,202002120DAL,SAC,DAL
814,202002120PHO,GSW,PHO
815,202002120UTA,MIA,UTA
